run_id	group	n	mean	p10	p50	p90	sum_notional	wmean_markout	markout_cost
flow_sym_size_thrP95_f07__20251221_1307	bid|sv<-thr	15	0.08	-0.16	0	0.36	3122.51	0.0800192	249.861
flow_sym_size_thrP95_f07__20251221_1307	bid|sv>+thr	6	0.0333333	-0.15	0	0.25	1107	0.103188	114.229
flow_sym_size_thrP95_f07__20251221_1337	ask|sv>+thr	15	-0.0366667	-0.32	0	0.12	3123.68	-0.0366326	-114.429
flow_sym_size_thrP95_f07__20251221_1337	ask|sv<-thr	10	0.05	0	0	0.2	1107.69	0.0656839	72.7573
flow_sym_size_thrP95_f07__20251221_1337	bid|sv<-thr	12	0.0416667	0	0	0.27	2497.77	0.0416589	104.054
flow_sym_size_thrP95_f07__20251221_1337	bid|sv>+thr	5	0.04	-0.18	0	0.3	819.908	0.13932	114.229
flow_sym_size_thrP95_f07__20251221_1407	ask|sv>+thr	17	-0.0323529	-0.23	0	0.08	3540.19	-0.0323228	-114.429
flow_sym_size_thrP95_f07__20251221_1407	ask|sv<-thr	10	0.02	0	0	0.02	1347.54	0.0441264	59.462
flow_sym_size_thrP95_f07__20251221_1407	bid|sv<-thr	12	0.0416667	0	0	0.27	2498.17	0.0416523	104.054
flow_sym_size_thrP95_f07__20251221_1407	bid|sv>+thr	5	0.04	-0.18	0	0.3	819.908	0.13932	114.229
flow_sym_size_thrP95_f07__20251221_1437	ask|sv>+thr	21	-0.0357143	-0.2	0	0	4018.7	-0.0300138	-120.617
flow_sym_size_thrP95_f07__20251221_1437	ask|sv<-thr	10	0.02	0	0	0.02	1600.71	0.0371472	59.462
flow_sym_size_thrP95_f07__20251221_1437	bid|sv<-thr	17	0.0235294	0	0	0.12	3539.48	0.0235223	83.2566
flow_sym_size_thrP95_f07__20251221_1437	bid|sv>+thr	5	0.18	0	0	0.46	1040.16	0.168828	175.608
flow_sym_size_thrP95_f07__20251221_1507	ask|sv>+thr	23	-0.0804348	-0.68	0	0.16	4438.07	-0.0789599	-350.429
flow_sym_size_thrP95_f07__20251221_1507	ask|sv<-thr	6	0.0333333	0	0	0.1	793.105	0.00781562	6.19861
